company_id,company,dimension,prior,weight,rationale,status,source_ids
C009,Intuitive Surgical,asset,5,20,"Surgical platform, instruments and procedure ecosystem. Verify exclusivity and practical reuse.",HYPOTHESIS,
C009,Intuitive Surgical,ai_leverage,4,20,"AI can improve image reconstruction, diagnostic workflow and procedure planning, allowing each installed system to handle more useful clinical work. Incremental financial materiality remains unmeasured.",HYPOTHESIS,
C009,Intuitive Surgical,feedback,5,15,"Installed instruments, imaging or procedure data, clinician relationships and service networks. Useful outcome labels and lawful learning rights remain to be verified.",HYPOTHESIS,
C009,Intuitive Surgical,testability,3,10,Use paired-reader studies and hospital deployment cohorts with equivalent case mix. Separate diagnostic accuracy from billing activity.,HYPOTHESIS,
C009,Intuitive Surgical,distribution,5,15,"Surgical platform, instruments and procedure ecosystem. Verify the share of eligible workflows reachable through existing channels.",HYPOTHESIS,
C009,Intuitive Surgical,capture,5,20,"Premium features, service contracts and procedure-linked consumables may capture a share of customer throughput gains. Company-specific risk: Procedure data rights, clinical evidence and competing platforms.",HYPOTHESIS,
C010,Thermo Fisher Scientific,asset,4,20,"Laboratory tools, consumables and service relationships. Verify exclusivity and practical reuse.",HYPOTHESIS,
C010,Thermo Fisher Scientific,ai_leverage,4,20,"AI can automate experimental design, improve assay yield and shorten trial recruitment or monitoring work. Incremental financial materiality remains unmeasured.",HYPOTHESIS,
C010,Thermo Fisher Scientific,feedback,4,15,"Instrument footprints, assay protocols, laboratory workflows and trial operations. Useful outcome labels and lawful learning rights remain to be verified.",HYPOTHESIS,
C010,Thermo Fisher Scientific,testability,4,10,"Compare matched assays or trial sites before and after deployment and account for staffing, protocol and demand differences.",HYPOTHESIS,
C010,Thermo Fisher Scientific,distribution,5,15,"Laboratory tools, consumables and service relationships. Verify the share of eligible workflows reachable through existing channels.",HYPOTHESIS,
C010,Thermo Fisher Scientific,capture,5,20,"Consumables, software and workflow switching costs can monetize higher laboratory utilization. CROs must retain savings despite hourly contracts. Company-specific risk: Customers may own the useful data and retain the productivity gain.",HYPOTHESIS,
C011,Danaher,asset,4,20,Diagnostics and life-science instrument workflows. Verify exclusivity and practical reuse.,HYPOTHESIS,
C011,Danaher,ai_leverage,4,20,"AI can automate experimental design, improve assay yield and shorten trial recruitment or monitoring work. Incremental financial materiality remains unmeasured.",HYPOTHESIS,
C011,Danaher,feedback,4,15,"Instrument footprints, assay protocols, laboratory workflows and trial operations. Useful outcome labels and lawful learning rights remain to be verified.",HYPOTHESIS,
C011,Danaher,testability,4,10,"Compare matched assays or trial sites before and after deployment and account for staffing, protocol and demand differences.",HYPOTHESIS,
C011,Danaher,distribution,5,15,Diagnostics and life-science instrument workflows. Verify the share of eligible workflows reachable through existing channels.,HYPOTHESIS,
C011,Danaher,capture,5,20,"Consumables, software and workflow switching costs can monetize higher laboratory utilization. CROs must retain savings despite hourly contracts. Company-specific risk: End-market recovery can masquerade as structural productivity.",HYPOTHESIS,
C012,IQVIA,asset,5,20,Healthcare data assets and clinical-research operations. Verify exclusivity and practical reuse.,HYPOTHESIS,
C012,IQVIA,ai_leverage,4,20,"AI can automate experimental design, improve assay yield and shorten trial recruitment or monitoring work. Incremental financial materiality remains unmeasured.",HYPOTHESIS,
C012,IQVIA,feedback,4,15,"Instrument footprints, assay protocols, laboratory workflows and trial operations. Useful outcome labels and lawful learning rights remain to be verified.",HYPOTHESIS,
C012,IQVIA,testability,3,10,"Compare matched assays or trial sites before and after deployment and account for staffing, protocol and demand differences.",HYPOTHESIS,
C012,IQVIA,distribution,5,15,Healthcare data assets and clinical-research operations. Verify the share of eligible workflows reachable through existing channels.,HYPOTHESIS,
C012,IQVIA,capture,4,20,"Consumables, software and workflow switching costs can monetize higher laboratory utilization. CROs must retain savings despite hourly contracts. Company-specific risk: Restrictions on data use and sponsor procurement pressure.",HYPOTHESIS,
C013,HCA Healthcare,asset,3,20,Hospital operations and clinical capacity. Verify exclusivity and practical reuse.,HYPOTHESIS,
C013,HCA Healthcare,ai_leverage,3,20,AI can reduce documentation and scheduling work and improve appropriate care coordination. Incremental financial materiality remains unmeasured.,HYPOTHESIS,
C013,HCA Healthcare,feedback,4,15,"Care-delivery workflows, appointment capacity and claims or clinical records under restricted rights. Useful outcome labels and lawful learning rights remain to be verified.",HYPOTHESIS,
C013,HCA Healthcare,testability,3,10,"Use controlled clinics or member cohorts, with independent clinical adjudication and case-mix adjustment.",HYPOTHESIS,
C013,HCA Healthcare,distribution,5,15,Hospital operations and clinical capacity. Verify the share of eligible workflows reachable through existing channels.,HYPOTHESIS,
C013,HCA Healthcare,capture,2,20,"Providers may fill scarce clinical capacity. Payers may reduce avoidable cost, subject to medical-loss rules, contracts and consumer protections. Company-specific risk: Labor, reimbursement and care quality may absorb benefits.",HYPOTHESIS,
C014,UnitedHealth Group,asset,4,20,Care and insurance workflows across a complex organization. Verify exclusivity and practical reuse.,HYPOTHESIS,
C014,UnitedHealth Group,ai_leverage,4,20,AI can reduce documentation and scheduling work and improve appropriate care coordination. Incremental financial materiality remains unmeasured.,HYPOTHESIS,
C014,UnitedHealth Group,feedback,4,15,"Care-delivery workflows, appointment capacity and claims or clinical records under restricted rights. Useful outcome labels and lawful learning rights remain to be verified.",HYPOTHESIS,
C014,UnitedHealth Group,testability,3,10,"Use controlled clinics or member cohorts, with independent clinical adjudication and case-mix adjustment.",HYPOTHESIS,
C014,UnitedHealth Group,distribution,5,15,Care and insurance workflows across a complex organization. Verify the share of eligible workflows reachable through existing channels.,HYPOTHESIS,
C014,UnitedHealth Group,capture,2,20,"Providers may fill scarce clinical capacity. Payers may reduce avoidable cost, subject to medical-loss rules, contracts and consumer protections. Company-specific risk: Clinical, governance and reimbursement risks demand a separate review.",HYPOTHESIS,
C015,Munich Re,asset,5,20,"Reinsurance exposure history, underwriting and specialty risk expertise. Verify exclusivity and practical reuse.",HYPOTHESIS,
C015,Munich Re,ai_leverage,4,20,"AI can interpret submissions, find fraud and improve risk selection. Reinsurance has sparse tail labels, unlike frequent retail claims. Incremental financial materiality remains unmeasured.",HYPOTHESIS,
C015,Munich Re,feedback,4,15,"Claims histories, exposure records, distribution and underwriting expertise. Useful outcome labels and lawful learning rights remain to be verified.",HYPOTHESIS,
C015,Munich Re,testability,2,10,Compare matched underwriting cohorts and claims outcomes. Require a catastrophe-normalized view and adverse development analysis.,HYPOTHESIS,
C015,Munich Re,distribution,5,15,"Reinsurance exposure history, underwriting and specialty risk expertise. Verify the share of eligible workflows reachable through existing channels.",HYPOTHESIS,
C015,Munich Re,capture,5,20,Better risk selection and lower expense ratios may survive renewals where proprietary information and underwriting discipline persist. Company-specific risk: Tail events are sparse and historical correlations can fail.,HYPOTHESIS,
C016,Swiss Re,asset,5,20,Global reinsurance portfolios and risk-modeling experience. Verify exclusivity and practical reuse.,HYPOTHESIS,
C016,Swiss Re,ai_leverage,4,20,"AI can interpret submissions, find fraud and improve risk selection. Reinsurance has sparse tail labels, unlike frequent retail claims. Incremental financial materiality remains unmeasured.",HYPOTHESIS,
C016,Swiss Re,feedback,4,15,"Claims histories, exposure records, distribution and underwriting expertise. Useful outcome labels and lawful learning rights remain to be verified.",HYPOTHESIS,
C016,Swiss Re,testability,2,10,Compare matched underwriting cohorts and claims outcomes. Require a catastrophe-normalized view and adverse development analysis.,HYPOTHESIS,
C016,Swiss Re,distribution,5,15,Global reinsurance portfolios and risk-modeling experience. Verify the share of eligible workflows reachable through existing channels.,HYPOTHESIS,
C016,Swiss Re,capture,4,20,Better risk selection and lower expense ratios may survive renewals where proprietary information and underwriting discipline persist. Company-specific risk: Shared industry models can erode differentiation.,HYPOTHESIS,
C017,Allianz,asset,4,20,Insurance distribution and diversified claims books. Verify exclusivity and practical reuse.,HYPOTHESIS,
C017,Allianz,ai_leverage,4,20,"AI can interpret submissions, find fraud and improve risk selection. Reinsurance has sparse tail labels, unlike frequent retail claims. Incremental financial materiality remains unmeasured.",HYPOTHESIS,
C017,Allianz,feedback,4,15,"Claims histories, exposure records, distribution and underwriting expertise. Useful outcome labels and lawful learning rights remain to be verified.",HYPOTHESIS,
C017,Allianz,testability,3,10,Compare matched underwriting cohorts and claims outcomes. Require a catastrophe-normalized view and adverse development analysis.,HYPOTHESIS,
C017,Allianz,distribution,5,15,Insurance distribution and diversified claims books. Verify the share of eligible workflows reachable through existing channels.,HYPOTHESIS,
C017,Allianz,capture,4,20,Better risk selection and lower expense ratios may survive renewals where proprietary information and underwriting discipline persist. Company-specific risk: Complex integration and repricing may consume savings.,HYPOTHESIS,
C018,Chubb,asset,5,20,Commercial insurance underwriting and claims expertise. Verify exclusivity and practical reuse.,HYPOTHESIS,
C018,Chubb,ai_leverage,4,20,"AI can interpret submissions, find fraud and improve risk selection. Reinsurance has sparse tail labels, unlike frequent retail claims. Incremental financial materiality remains unmeasured.",HYPOTHESIS,
C018,Chubb,feedback,4,15,"Claims histories, exposure records, distribution and underwriting expertise. Useful outcome labels and lawful learning rights remain to be verified.",HYPOTHESIS,
C018,Chubb,testability,3,10,Compare matched underwriting cohorts and claims outcomes. Require a catastrophe-normalized view and adverse development analysis.,HYPOTHESIS,
C018,Chubb,distribution,5,15,Commercial insurance underwriting and claims expertise. Verify the share of eligible workflows reachable through existing channels.,HYPOTHESIS,
C018,Chubb,capture,4,20,Better risk selection and lower expense ratios may survive renewals where proprietary information and underwriting discipline persist. Company-specific risk: Hard-market pricing must be separated from AI risk selection.,HYPOTHESIS,
C019,Progressive,asset,5,20,Auto claims and telematics-related pricing experience. Verify exclusivity and practical reuse.,HYPOTHESIS,
C019,Progressive,ai_leverage,5,20,"AI can interpret submissions, find fraud and improve risk selection. Reinsurance has sparse tail labels, unlike frequent retail claims. Incremental financial materiality remains unmeasured.",HYPOTHESIS,
C019,Progressive,feedback,5,15,"Claims histories, exposure records, distribution and underwriting expertise. Useful outcome labels and lawful learning rights remain to be verified.",HYPOTHESIS,
C019,Progressive,testability,4,10,Compare matched underwriting cohorts and claims outcomes. Require a catastrophe-normalized view and adverse development analysis.,HYPOTHESIS,
C019,Progressive,distribution,5,15,Auto claims and telematics-related pricing experience. Verify the share of eligible workflows reachable through existing channels.,HYPOTHESIS,
C019,Progressive,capture,4,20,Better risk selection and lower expense ratios may survive renewals where proprietary information and underwriting discipline persist. Company-specific risk: Competitors and regulation can narrow incremental pricing advantage.,HYPOTHESIS,
C020,AIA Group,asset,4,20,Asian life-insurance distribution and policy relationships. Verify exclusivity and practical reuse.,HYPOTHESIS,
C020,AIA Group,ai_leverage,3,20,"AI can improve adviser capacity, policy servicing and client retention. Life underwriting needs long observation periods, while investment research faces crowded signals. Incremental financial materiality remains unmeasured.",HYPOTHESIS,
C020,AIA Group,feedback,4,15,"Policyholder relationships, adviser networks, investment workflows and administrative records. Useful outcome labels and lawful learning rights remain to be verified.",HYPOTHESIS,
C020,AIA Group,testability,2,10,Evaluate matched adviser books. Separate market appreciation from flows and separate servicing improvements from claimed investment alpha.,HYPOTHESIS,
C020,AIA Group,distribution,5,15,Asian life-insurance distribution and policy relationships. Verify the share of eligible workflows reachable through existing channels.,HYPOTHESIS,
C020,AIA Group,capture,3,20,"Distribution and recurring administration can retain savings. Investment alpha is a separate, much harder hypothesis. Company-specific risk: Long-duration claims labels and regional regulation.",HYPOTHESIS,
C021,BlackRock,asset,4,20,"Investment workflows, client distribution and Aladdin platform. Verify exclusivity and practical reuse.",HYPOTHESIS,
C021,BlackRock,ai_leverage,4,20,"AI can improve adviser capacity, policy servicing and client retention. Life underwriting needs long observation periods, while investment research faces crowded signals. Incremental financial materiality remains unmeasured.",HYPOTHESIS,
C021,BlackRock,feedback,4,15,"Policyholder relationships, adviser networks, investment workflows and administrative records. Useful outcome labels and lawful learning rights remain to be verified.",HYPOTHESIS,
C021,BlackRock,testability,3,10,Evaluate matched adviser books. Separate market appreciation from flows and separate servicing improvements from claimed investment alpha.,HYPOTHESIS,
C021,BlackRock,distribution,5,15,"Investment workflows, client distribution and Aladdin platform. Verify the share of eligible workflows reachable through existing channels.",HYPOTHESIS,
C021,BlackRock,capture,5,20,"Distribution and recurring administration can retain savings. Investment alpha is a separate, much harder hypothesis. Company-specific risk: Markets lift assets independently of AI and fee pressure persists.",HYPOTHESIS,
C022,Manulife,asset,3,20,Life insurance and wealth-service customer relationships. Verify exclusivity and practical reuse.,HYPOTHESIS,
C022,Manulife,ai_leverage,3,20,"AI can improve adviser capacity, policy servicing and client retention. Life underwriting needs long observation periods, while investment research faces crowded signals. Incremental financial materiality remains unmeasured.",HYPOTHESIS,
C022,Manulife,feedback,4,15,"Policyholder relationships, adviser networks, investment workflows and administrative records. Useful outcome labels and lawful learning rights remain to be verified.",HYPOTHESIS,
C022,Manulife,testability,2,10,Evaluate matched adviser books. Separate market appreciation from flows and separate servicing improvements from claimed investment alpha.,HYPOTHESIS,
C022,Manulife,distribution,5,15,Life insurance and wealth-service customer relationships. Verify the share of eligible workflows reachable through existing channels.,HYPOTHESIS,
C022,Manulife,capture,3,20,"Distribution and recurring administration can retain savings. Investment alpha is a separate, much harder hypothesis. Company-specific risk: Legacy systems and market-sensitive earnings.",HYPOTHESIS,
C023,JPMorgan Chase,asset,5,20,"Deposit distribution, transaction history and credit outcomes. Verify exclusivity and practical reuse.",HYPOTHESIS,S09
C023,JPMorgan Chase,ai_leverage,4,20,"AI can improve fraud controls, service capacity and credit decisions while automating document-heavy operations. Incremental financial materiality remains unmeasured.",HYPOTHESIS,S09
C023,JPMorgan Chase,feedback,4,15,"Deposit franchises, transaction histories, credit outcomes and regulated distribution. Useful outcome labels and lawful learning rights remain to be verified.",HYPOTHESIS,S09
C023,JPMorgan Chase,testability,4,10,Match credit vintages and service cohorts. Hold funding costs and risk appetite constant; separate ML upgrades from interest-rate effects.,HYPOTHESIS,S09
C023,JPMorgan Chase,distribution,5,15,"Deposit distribution, transaction history and credit outcomes. Verify the share of eligible workflows reachable through existing channels.",HYPOTHESIS,S09
C023,JPMorgan Chase,capture,4,20,"A durable funding franchise and embedded relationships can retain some gains, but competition and credit cycles dominate weak underwriting. Company-specific risk: Credit cycles and funding costs can swamp measured AI gains.",HYPOTHESIS,S09
C024,DBS Group,asset,4,20,Integrated regional banking and digital workflows. Verify exclusivity and practical reuse.,HYPOTHESIS,
C024,DBS Group,ai_leverage,4,20,"AI can improve fraud controls, service capacity and credit decisions while automating document-heavy operations. Incremental financial materiality remains unmeasured.",HYPOTHESIS,
C024,DBS Group,feedback,4,15,"Deposit franchises, transaction histories, credit outcomes and regulated distribution. Useful outcome labels and lawful learning rights remain to be verified.",HYPOTHESIS,
C024,DBS Group,testability,4,10,Match credit vintages and service cohorts. Hold funding costs and risk appetite constant; separate ML upgrades from interest-rate effects.,HYPOTHESIS,
C024,DBS Group,distribution,5,15,Integrated regional banking and digital workflows. Verify the share of eligible workflows reachable through existing channels.,HYPOTHESIS,
C024,DBS Group,capture,4,20,"A durable funding franchise and embedded relationships can retain some gains, but competition and credit cycles dominate weak underwriting. Company-specific risk: Concentrated geographic and credit exposures.",HYPOTHESIS,
C025,ICICI Bank,asset,4,20,Retail banking distribution and digital transactions. Verify exclusivity and practical reuse.,HYPOTHESIS,
C025,ICICI Bank,ai_leverage,4,20,"AI can improve fraud controls, service capacity and credit decisions while automating document-heavy operations. Incremental financial materiality remains unmeasured.",HYPOTHESIS,
C025,ICICI Bank,feedback,4,15,"Deposit franchises, transaction histories, credit outcomes and regulated distribution. Useful outcome labels and lawful learning rights remain to be verified.",HYPOTHESIS,
C025,ICICI Bank,testability,4,10,Match credit vintages and service cohorts. Hold funding costs and risk appetite constant; separate ML upgrades from interest-rate effects.,HYPOTHESIS,
C025,ICICI Bank,distribution,5,15,Retail banking distribution and digital transactions. Verify the share of eligible workflows reachable through existing channels.,HYPOTHESIS,
C025,ICICI Bank,capture,3,20,"A durable funding franchise and embedded relationships can retain some gains, but competition and credit cycles dominate weak underwriting. Company-specific risk: Rapid credit growth can hide vintage risk.",HYPOTHESIS,
C026,Visa,asset,5,20,Network fraud signals and merchant-issuer connectivity. Verify exclusivity and practical reuse.,HYPOTHESIS,S10
C026,Visa,ai_leverage,5,20,AI can identify fraud and reduce false declines using context that individual merchants or issuers cannot easily reproduce. Incremental financial materiality remains unmeasured.,HYPOTHESIS,S10
C026,Visa,feedback,5,15,"Network-level transactions, merchant relationships and fraud outcome signals. Useful outcome labels and lawful learning rights remain to be verified.",HYPOTHESIS,S10
C026,Visa,testability,4,10,Use randomized or matched authorization policies with equal fraud budgets. Measure issuer and merchant outcomes as well as network revenue.,HYPOTHESIS,S10
C026,Visa,distribution,5,15,Network fraud signals and merchant-issuer connectivity. Verify the share of eligible workflows reachable through existing channels.,HYPOTHESIS,S10
C026,Visa,capture,5,20,Risk-service fees and higher legitimate transaction volume can monetize improved authorization quality. Company-specific risk: Account-to-account alternatives and fee regulation.,HYPOTHESIS,S10
C027,Mastercard,asset,5,20,Payment network and risk-service relationships. Verify exclusivity and practical reuse.,HYPOTHESIS,
C027,Mastercard,ai_leverage,5,20,AI can identify fraud and reduce false declines using context that individual merchants or issuers cannot easily reproduce. Incremental financial materiality remains unmeasured.,HYPOTHESIS,
C027,Mastercard,feedback,5,15,"Network-level transactions, merchant relationships and fraud outcome signals. Useful outcome labels and lawful learning rights remain to be verified.",HYPOTHESIS,
C027,Mastercard,testability,4,10,Use randomized or matched authorization policies with equal fraud budgets. Measure issuer and merchant outcomes as well as network revenue.,HYPOTHESIS,
C027,Mastercard,distribution,5,15,Payment network and risk-service relationships. Verify the share of eligible workflows reachable through existing channels.,HYPOTHESIS,
C027,Mastercard,capture,5,20,Risk-service fees and higher legitimate transaction volume can monetize improved authorization quality. Company-specific risk: Alternative rails and service commoditization.,HYPOTHESIS,
C028,Adyen,asset,4,20,Merchant payments integration and cross-channel transaction context. Verify exclusivity and practical reuse.,HYPOTHESIS,
C028,Adyen,ai_leverage,4,20,AI can identify fraud and reduce false declines using context that individual merchants or issuers cannot easily reproduce. Incremental financial materiality remains unmeasured.,HYPOTHESIS,
C028,Adyen,feedback,4,15,"Network-level transactions, merchant relationships and fraud outcome signals. Useful outcome labels and lawful learning rights remain to be verified.",HYPOTHESIS,
C028,Adyen,testability,4,10,Use randomized or matched authorization policies with equal fraud budgets. Measure issuer and merchant outcomes as well as network revenue.,HYPOTHESIS,
C028,Adyen,distribution,5,15,Merchant payments integration and cross-channel transaction context. Verify the share of eligible workflows reachable through existing channels.,HYPOTHESIS,
C028,Adyen,capture,4,20,Risk-service fees and higher legitimate transaction volume can monetize improved authorization quality. Company-specific risk: Merchant concentration and pricing competition.,HYPOTHESIS,
C029,S&P Global,asset,5,20,"Ratings, benchmarks, financial data and analytical workflows. Verify exclusivity and practical reuse.",HYPOTHESIS,
C029,S&P Global,ai_leverage,4,20,"AI can turn curated records into underwriting, research and compliance decisions with less manual reconciliation. Incremental financial materiality remains unmeasured.",HYPOTHESIS,
C029,S&P Global,feedback,4,15,"Permissioned credit histories, market records, ratings expertise and licensed data feeds. Useful outcome labels and lawful learning rights remain to be verified.",HYPOTHESIS,
C029,S&P Global,testability,3,10,Compare incumbent and challenger performance on identical lawful datasets. Then add proprietary features to isolate their marginal value.,HYPOTHESIS,
C029,S&P Global,distribution,5,15,"Ratings, benchmarks, financial data and analytical workflows. Verify the share of eligible workflows reachable through existing channels.",HYPOTHESIS,
C029,S&P Global,capture,5,20,"Licenses, data entitlements and embedded decision workflows can support paid tools. Public facts alone are a weak moat. Company-specific risk: Public data and licensing costs can limit proprietary advantage.",HYPOTHESIS,
C030,Moody's,asset,5,20,Credit expertise and analytics relationships. Verify exclusivity and practical reuse.,HYPOTHESIS,
C030,Moody's,ai_leverage,4,20,"AI can turn curated records into underwriting, research and compliance decisions with less manual reconciliation. Incremental financial materiality remains unmeasured.",HYPOTHESIS,
