id,company,primary_area,secondary_areas,home_market,research_group,asset_hypothesis,ai_use_case,feedback_hypothesis,principal_risk,proof_kpi,evidence_stage,company_source_ids,source_scope,evidence_confidence,score_kind,structural_prior,asset,ai_leverage,feedback,testability,distribution,capture,valuation_status,valuation_date,price,fair_value,valuation_score,diligence_priority,investable_status,as_of
C011,Danaher,H03,,United States,Health Care,Diagnostics and life-science instrument workflows,"AI can automate experimental design, improve assay yield and shorten trial recruitment or monitoring work.","Instrument footprints, assay protocols, laboratory workflows and trial operations outcomes can improve decisions only if reusable rights and labels exist.",End-market recovery can masquerade as structural productivity,Successful experiments per instrument-day; trial enrollment time; service contribution per project,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,87.0,4,4,4,4,5,5,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
C012,IQVIA,H03,,United States,Health Care,Healthcare data assets and clinical-research operations,"AI can automate experimental design, improve assay yield and shorten trial recruitment or monitoring work.","Instrument footprints, assay protocols, laboratory workflows and trial operations outcomes can improve decisions only if reusable rights and labels exist.",Restrictions on data use and sponsor procurement pressure,Successful experiments per instrument-day; trial enrollment time; service contribution per project,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,85.0,5,4,4,3,5,4,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
C013,HCA Healthcare,H04,,United States,Health Care,Hospital operations and clinical capacity,AI can reduce documentation and scheduling work and improve appropriate care coordination.,"Care-delivery workflows, appointment capacity and claims or clinical records under restricted rights outcomes can improve decisions only if reusable rights and labels exist.","Labor, reimbursement and care quality may absorb benefits",Clinician time per completed encounter; waiting time; risk-adjusted cost per member,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,65.0,3,3,4,3,5,2,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
C014,UnitedHealth Group,H04,F01,United States,Health Care,Care and insurance workflows across a complex organization,AI can reduce documentation and scheduling work and improve appropriate care coordination.,"Care-delivery workflows, appointment capacity and claims or clinical records under restricted rights outcomes can improve decisions only if reusable rights and labels exist.","Clinical, governance and reimbursement risks demand a separate review",Clinician time per completed encounter; waiting time; risk-adjusted cost per member,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,73.0,4,4,4,3,5,2,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
C015,Munich Re,F01,,Germany,Financials,"Reinsurance exposure history, underwriting and specialty risk expertise","AI can interpret submissions, find fraud and improve risk selection. Reinsurance has sparse tail labels, unlike frequent retail claims.","Claims histories, exposure records, distribution and underwriting expertise outcomes can improve decisions only if reusable rights and labels exist.",Tail events are sparse and historical correlations can fail,Accident-year loss ratio adjusted for price and mix; claims expense per resolved claim; new-business risk-adjusted return,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,87.0,5,4,4,2,5,5,NOT_ASSESSED,,,,,P1,RESEARCH_ONLY,2026-09-11
C016,Swiss Re,F01,,Switzerland,Financials,Global reinsurance portfolios and risk-modeling experience,"AI can interpret submissions, find fraud and improve risk selection. Reinsurance has sparse tail labels, unlike frequent retail claims.","Claims histories, exposure records, distribution and underwriting expertise outcomes can improve decisions only if reusable rights and labels exist.",Shared industry models can erode differentiation,Accident-year loss ratio adjusted for price and mix; claims expense per resolved claim; new-business risk-adjusted return,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,83.0,5,4,4,2,5,4,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
C017,Allianz,F01,,Germany,Financials,Insurance distribution and diversified claims books,"AI can interpret submissions, find fraud and improve risk selection. Reinsurance has sparse tail labels, unlike frequent retail claims.","Claims histories, exposure records, distribution and underwriting expertise outcomes can improve decisions only if reusable rights and labels exist.",Complex integration and repricing may consume savings,Accident-year loss ratio adjusted for price and mix; claims expense per resolved claim; new-business risk-adjusted return,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,81.0,4,4,4,3,5,4,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
C018,Chubb,F01,,Switzerland,Financials,Commercial insurance underwriting and claims expertise,"AI can interpret submissions, find fraud and improve risk selection. Reinsurance has sparse tail labels, unlike frequent retail claims.","Claims histories, exposure records, distribution and underwriting expertise outcomes can improve decisions only if reusable rights and labels exist.",Hard-market pricing must be separated from AI risk selection,Accident-year loss ratio adjusted for price and mix; claims expense per resolved claim; new-business risk-adjusted return,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,85.0,5,4,4,3,5,4,NOT_ASSESSED,,,,,P1,RESEARCH_ONLY,2026-09-11
C019,Progressive,F01,,United States,Financials,Auto claims and telematics-related pricing experience,"AI can interpret submissions, find fraud and improve risk selection. Reinsurance has sparse tail labels, unlike frequent retail claims.","Claims histories, exposure records, distribution and underwriting expertise outcomes can improve decisions only if reusable rights and labels exist.",Competitors and regulation can narrow incremental pricing advantage,Accident-year loss ratio adjusted for price and mix; claims expense per resolved claim; new-business risk-adjusted return,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,94.0,5,5,5,4,5,4,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
C020,AIA Group,F02,,Hong Kong,Financials,Asian life-insurance distribution and policy relationships,"AI can improve adviser capacity, policy servicing and client retention. Life underwriting needs long observation periods, while investment research faces crowded signals.","Policyholder relationships, adviser networks, investment workflows and administrative records outcomes can improve decisions only if reusable rights and labels exist.",Long-duration claims labels and regional regulation,Cost per policy or account; adviser assets serviced; persistency or organic net flows,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,71.0,4,3,4,2,5,3,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
C021,BlackRock,F02,I02,United States,Financials,"Investment workflows, client distribution and Aladdin platform","AI can improve adviser capacity, policy servicing and client retention. Life underwriting needs long observation periods, while investment research faces crowded signals.","Policyholder relationships, adviser networks, investment workflows and administrative records outcomes can improve decisions only if reusable rights and labels exist.",Markets lift assets independently of AI and fee pressure persists,Cost per policy or account; adviser assets serviced; persistency or organic net flows,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,85.0,4,4,4,3,5,5,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
C022,Manulife,F02,,Canada,Financials,Life insurance and wealth-service customer relationships,"AI can improve adviser capacity, policy servicing and client retention. Life underwriting needs long observation periods, while investment research faces crowded signals.","Policyholder relationships, adviser networks, investment workflows and administrative records outcomes can improve decisions only if reusable rights and labels exist.",Legacy systems and market-sensitive earnings,Cost per policy or account; adviser assets serviced; persistency or organic net flows,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,67.0,3,3,4,2,5,3,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
C023,JPMorgan Chase,F03,,United States,Financials,"Deposit distribution, transaction history and credit outcomes","AI can improve fraud controls, service capacity and credit decisions while automating document-heavy operations.","Deposit franchises, transaction histories, credit outcomes and regulated distribution outcomes can improve decisions only if reusable rights and labels exist.",Credit cycles and funding costs can swamp measured AI gains,Cost-to-income at constant business mix; fraud loss per transaction; vintage default and risk-adjusted return,E2,S09,company-specific description,limited,analyst structural prior; not evidence-validated,87.0,5,4,4,4,5,4,NOT_ASSESSED,,,,,P1,RESEARCH_ONLY,2026-09-11
C024,DBS Group,F03,,Singapore,Financials,Integrated regional banking and digital workflows,"AI can improve fraud controls, service capacity and credit decisions while automating document-heavy operations.","Deposit franchises, transaction histories, credit outcomes and regulated distribution outcomes can improve decisions only if reusable rights and labels exist.",Concentrated geographic and credit exposures,Cost-to-income at constant business mix; fraud loss per transaction; vintage default and risk-adjusted return,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,83.0,4,4,4,4,5,4,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
C025,ICICI Bank,F03,,India,Financials,Retail banking distribution and digital transactions,"AI can improve fraud controls, service capacity and credit decisions while automating document-heavy operations.","Deposit franchises, transaction histories, credit outcomes and regulated distribution outcomes can improve decisions only if reusable rights and labels exist.",Rapid credit growth can hide vintage risk,Cost-to-income at constant business mix; fraud loss per transaction; vintage default and risk-adjusted return,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,79.0,4,4,4,4,5,3,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
C026,Visa,F04,,United States,Financials,Network fraud signals and merchant-issuer connectivity,AI can identify fraud and reduce false declines using context that individual merchants or issuers cannot easily reproduce.,"Network-level transactions, merchant relationships and fraud outcome signals outcomes can improve decisions only if reusable rights and labels exist.",Account-to-account alternatives and fee regulation,Fraud basis points at fixed approval rate; false declines; net risk-service revenue per client,E1,S10,company-specific description,limited,analyst structural prior; not evidence-validated,98.0,5,5,5,4,5,5,NOT_ASSESSED,,,,,P1,RESEARCH_ONLY,2026-09-11
C027,Mastercard,F04,,United States,Financials,Payment network and risk-service relationships,AI can identify fraud and reduce false declines using context that individual merchants or issuers cannot easily reproduce.,"Network-level transactions, merchant relationships and fraud outcome signals outcomes can improve decisions only if reusable rights and labels exist.",Alternative rails and service commoditization,Fraud basis points at fixed approval rate; false declines; net risk-service revenue per client,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,98.0,5,5,5,4,5,5,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
C028,Adyen,F04,,Netherlands,Financials,Merchant payments integration and cross-channel transaction context,AI can identify fraud and reduce false declines using context that individual merchants or issuers cannot easily reproduce.,"Network-level transactions, merchant relationships and fraud outcome signals outcomes can improve decisions only if reusable rights and labels exist.",Merchant concentration and pricing competition,Fraud basis points at fixed approval rate; false declines; net risk-service revenue per client,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,83.0,4,4,4,4,5,4,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
C029,S&P Global,F05,,United States,Financials,"Ratings, benchmarks, financial data and analytical workflows","AI can turn curated records into underwriting, research and compliance decisions with less manual reconciliation.","Permissioned credit histories, market records, ratings expertise and licensed data feeds outcomes can improve decisions only if reusable rights and labels exist.",Public data and licensing costs can limit proprietary advantage,Paid AI attach; net retention; analyst or onboarding time at fixed error rate,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,89.0,5,4,4,3,5,5,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
C030,Moody's,F05,,United States,Financials,Credit expertise and analytics relationships,"AI can turn curated records into underwriting, research and compliance decisions with less manual reconciliation.","Permissioned credit histories, market records, ratings expertise and licensed data feeds outcomes can improve decisions only if reusable rights and labels exist.",Credit issuance cycles and model commoditization,Paid AI attach; net retention; analyst or onboarding time at fixed error rate,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,89.0,5,4,4,3,5,5,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
C031,Experian,F05,,Ireland,Financials,Consumer and business credit files and decision workflows,"AI can turn curated records into underwriting, research and compliance decisions with less manual reconciliation.","Permissioned credit histories, market records, ratings expertise and licensed data feeds outcomes can improve decisions only if reusable rights and labels exist.","Consent, fairness and data portability constrain exclusivity",Paid AI attach; net retention; analyst or onboarding time at fixed error rate,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,94.0,5,5,5,4,5,4,NOT_ASSESSED,,,,,P1,RESEARCH_ONLY,2026-09-11
C032,London Stock Exchange Group,F05,,United Kingdom,Financials,"Market data, benchmarks and financial workflow distribution","AI can turn curated records into underwriting, research and compliance decisions with less manual reconciliation.","Permissioned credit histories, market records, ratings expertise and licensed data feeds outcomes can improve decisions only if reusable rights and labels exist.",Supplier licensing and platform integration costs,Paid AI attach; net retention; analyst or onboarding time at fixed error rate,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,89.0,5,4,4,3,5,5,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
C033,Intercontinental Exchange,F05,,United States,Financials,"Exchange, data and mortgage workflow infrastructure","AI can turn curated records into underwriting, research and compliance decisions with less manual reconciliation.","Permissioned credit histories, market records, ratings expertise and licensed data feeds outcomes can improve decisions only if reusable rights and labels exist.",Financial cycles and uneven segment-level capture,Paid AI attach; net retention; analyst or onboarding time at fixed error rate,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,89.0,5,4,4,3,5,5,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
C034,RELX,I01,F05;H03,United Kingdom,Information Technology,Enriched professional content and decision workflows,"AI can convert reference content into validated research, drafting and compliance work.","Editorial enrichment, citations, licensed archives and trusted professional workflows outcomes can improve decisions only if reusable rights and labels exist.",Generic agents may weaken seats while trusted content retains value,Net revenue per customer after seat changes; paid AI renewals; verified task completion cost,E2,S04,company-specific description,limited,analyst structural prior; not evidence-validated,95.0,5,5,4,4,5,5,NOT_ASSESSED,,,,,P1,RESEARCH_ONLY,2026-09-11
C035,Wolters Kluwer,I01,H02;I02,Netherlands,Information Technology,"Tax, clinical and compliance content embedded in expert tools","AI can convert reference content into validated research, drafting and compliance work.","Editorial enrichment, citations, licensed archives and trusted professional workflows outcomes can improve decisions only if reusable rights and labels exist.",Tenant data restrictions and willingness to pay for AI add-ons,Net revenue per customer after seat changes; paid AI renewals; verified task completion cost,E1,S06,company-specific description,limited,analyst structural prior; not evidence-validated,91.0,5,4,4,4,5,5,NOT_ASSESSED,,,,,P1,RESEARCH_ONLY,2026-09-11
C036,Thomson Reuters,I01,,Canada,Information Technology,Legal and tax content with verification and workflow tools,"AI can convert reference content into validated research, drafting and compliance work.","Editorial enrichment, citations, licensed archives and trusted professional workflows outcomes can improve decisions only if reusable rights and labels exist.",Customer content is not available for a pooled training flywheel,Net revenue per customer after seat changes; paid AI renewals; verified task completion cost,E1,S05,company-specific description,limited,analyst structural prior; not evidence-validated,91.0,5,4,4,4,5,5,NOT_ASSESSED,,,,,P1,RESEARCH_ONLY,2026-09-11
C037,Intuit,I02,,United States,Information Technology,"Accounting, tax and small-business transaction workflows","AI can perform more bookkeeping, payroll, compliance or industry-specific administration inside the existing workflow.","Domain-specific systems of record, transaction context and implementation knowledge outcomes can improve decisions only if reusable rights and labels exist.","Seat substitution, competition and support costs of autonomous work",Net revenue per customer; verified tasks completed per support hour; AI contribution margin,E1,S07,company-specific description,limited,analyst structural prior; not evidence-validated,91.0,5,5,4,4,5,4,NOT_ASSESSED,,,,,P1,RESEARCH_ONLY,2026-09-11
C038,Veeva Systems,I02,,United States,Information Technology,Life-sciences commercial and development software workflows,"AI can perform more bookkeeping, payroll, compliance or industry-specific administration inside the existing workflow.","Domain-specific systems of record, transaction context and implementation knowledge outcomes can improve decisions only if reusable rights and labels exist.",Customer data rights and transition execution,Net revenue per customer; verified tasks completed per support hour; AI contribution margin,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,87.0,5,4,4,4,5,4,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
C039,Constellation Software,I02,,Canada,Information Technology,Portfolio of niche vertical software customer relationships,"AI can perform more bookkeeping, payroll, compliance or industry-specific administration inside the existing workflow.","Domain-specific systems of record, transaction context and implementation knowledge outcomes can improve decisions only if reusable rights and labels exist.",Decentralized products vary widely in AI readiness and exposure,Net revenue per customer; verified tasks completed per support hour; AI contribution margin,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,79.0,4,3,4,4,5,4,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
C040,ADP,I02,,United States,Information Technology,"Payroll, employer distribution and regulatory workflows","AI can perform more bookkeeping, payroll, compliance or industry-specific administration inside the existing workflow.","Domain-specific systems of record, transaction context and implementation knowledge outcomes can improve decisions only if reusable rights and labels exist.",Error liability and pricing of automated administration,Net revenue per customer; verified tasks completed per support hour; AI contribution margin,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,83.0,4,4,4,4,5,4,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
C041,SAP,I03,,Germany,Information Technology,"Enterprise processes, permissions and systems of record",AI agents can coordinate transactions across enterprise workflows with existing authorization and audit controls.,"Business process definitions, permissions, integrations and systems of record outcomes can improve decisions only if reusable rights and labels exist.",Third-party agents could capture the user relationship,End-to-end task completion; AI net new contract value; total customer spend after seat changes,E2,S08,company-specific description,limited,analyst structural prior; not evidence-validated,91.0,5,4,4,4,5,5,NOT_ASSESSED,,,,,P1,RESEARCH_ONLY,2026-09-11
C042,ServiceNow,I03,,United States,Information Technology,"Service workflows, permissions and enterprise integrations",AI agents can coordinate transactions across enterprise workflows with existing authorization and audit controls.,"Business process definitions, permissions, integrations and systems of record outcomes can improve decisions only if reusable rights and labels exist.",AI spend may substitute for seats or invite competing orchestration,End-to-end task completion; AI net new contract value; total customer spend after seat changes,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,87.0,4,4,4,4,5,5,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
C043,Salesforce,I03,,United States,Information Technology,Customer workflows and installed CRM distribution,AI agents can coordinate transactions across enterprise workflows with existing authorization and audit controls.,"Business process definitions, permissions, integrations and systems of record outcomes can improve decisions only if reusable rights and labels exist.",Customer-owned data and seat cannibalization,End-to-end task completion; AI net new contract value; total customer spend after seat changes,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,83.0,4,4,4,4,5,4,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
C044,Synopsys,I04,,United States,Information Technology,"Chip design, verification and engineering toolchains",AI can explore design spaces and generate candidate implementations while deterministic tools validate constraints.,"Solvers, design-rule knowledge, verified toolchains and workflow integration outcomes can improve decisions only if reusable rights and labels exist.","Compute cost, integration complexity and customer IP restrictions",Engineer hours per verified design; first-pass signoff; paid AI attach,E1,S16,company-specific description,limited,analyst structural prior; not evidence-validated,95.0,5,5,4,4,5,5,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
C045,Cadence Design Systems,I04,,United States,Information Technology,Design and verification toolchains and solver expertise,AI can explore design spaces and generate candidate implementations while deterministic tools validate constraints.,"Solvers, design-rule knowledge, verified toolchains and workflow integration outcomes can improve decisions only if reusable rights and labels exist.",Pricing may not capture all customer engineering savings,Engineer hours per verified design; first-pass signoff; paid AI attach,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,95.0,5,5,4,4,5,5,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
C046,Dassault Systèmes,I04,,France,Information Technology,Engineering workflows and digital product models,AI can explore design spaces and generate candidate implementations while deterministic tools validate constraints.,"Solvers, design-rule knowledge, verified toolchains and workflow integration outcomes can improve decisions only if reusable rights and labels exist.",Complex implementations and customer data permissions,Engineer hours per verified design; first-pass signoff; paid AI attach,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,83.0,4,4,4,4,5,4,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
C047,Autodesk,I04,,United States,Information Technology,"Design files, creation workflows and professional distribution",AI can explore design spaces and generate candidate implementations while deterministic tools validate constraints.,"Solvers, design-rule knowledge, verified toolchains and workflow integration outcomes can improve decisions only if reusable rights and labels exist.",Agents may reduce seat demand and software differentiation,Engineer hours per verified design; first-pass signoff; paid AI attach,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,83.0,4,4,4,4,5,4,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
C048,TSMC,I05,,Taiwan,Information Technology,"Process expertise, yield learning and foundry customer relationships","AI can improve defect detection, equipment uptime and process-window search.","Process recipes, yield histories, metrology and installed production equipment outcomes can improve decisions only if reusable rights and labels exist.",Geopolitical concentration and capital intensity,Yield at equivalent node and product; good dies per tool-hour; unplanned downtime,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,89.0,5,5,4,3,5,4,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
C049,ASML,I05,,Netherlands,Information Technology,"Lithography systems, installed-base service and engineering know-how","AI can improve defect detection, equipment uptime and process-window search.","Process recipes, yield histories, metrology and installed production equipment outcomes can improve decisions only if reusable rights and labels exist.",Export constraints and customer capital-spending cycles,Yield at equivalent node and product; good dies per tool-hour; unplanned downtime,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,85.0,5,4,4,3,5,4,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
C050,Applied Materials,I05,,United States,Information Technology,Process equipment and service relationships,"AI can improve defect detection, equipment uptime and process-window search.","Process recipes, yield histories, metrology and installed production equipment outcomes can improve decisions only if reusable rights and labels exist.",Cyclicality and restricted customer process data,Yield at equivalent node and product; good dies per tool-hour; unplanned downtime,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,81.0,4,4,4,3,5,4,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
C051,KLA,I05,,United States,Information Technology,Inspection and metrology workflows,"AI can improve defect detection, equipment uptime and process-window search.","Process recipes, yield histories, metrology and installed production equipment outcomes can improve decisions only if reusable rights and labels exist.",Node transitions and customer capex confound productivity claims,Yield at equivalent node and product; good dies per tool-hour; unplanned downtime,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,91.0,5,5,4,4,5,4,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
